5.	61.90	1.848d45
9.	20.22	2.807d47
15.	10.40	1.861d48
25.	6.459	7.583d48
40.	3.864	2.469d49
60.	3.464	4.795d49
80.	3.012	7.730d49
120.	2.521	1.391d50
200.	2.204	2.624d50
300.	2.047	3.754d50
400.	1.974	5.247d50
500.	1.899	6.802d50
