  Sequence name          simbad                  feh   cfe   nfe   ofe   nafe  mgfe  alfe  sife  cafe  scfe  tife  vfe   crfe  mnfe  cofe  nife  znfe  gafe  gefe  srfe  yfe   zrfe  nbfe  mofe  rufe  rhfe  pdfe  agfe  bafe  lafe  cefe  prfe  ndfe  smfe  eufe  gdfe  tbfe  dyfe  hofe  erfe  tmfe  ybfe  lufe  hffe  osfe  irfe  ptfe  aufe  pbfe  thfe  ufe   ref      
1       17 HE0017-4838   2MASS J00194832-4821236 -3.40 -0.29     *     *     * +0.42 -0.72     * +0.44 +0.47 +0.56     * -0.21 -0.41 +0.49 +0.33     *     *     * +0.92 +0.51     *     *     *     *     *     *     * -0.61     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       18 CS22882-001   2MASS J00202529-3139040 -2.66 +0.10     *     *     * +0.44 -0.50 +0.36 +0.54 +0.43 +0.59 +0.56 +0.04 -0.37     *     *     *     *     * +0.43 +0.03     *     *     *     *     *     *     * +0.35 +0.74     *     *     *     * +1.07     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * PRE06    
1       19 BS17570-063   2MASS J00203619+2347376 -3.09 +0.53     *     *     * +0.25     * +0.21 +0.46 +0.53 +0.65     * -0.06 -0.59 +0.48 +3.42 +3.49     *     * +0.22     *     *     *     *     *     *     *     * -0.09     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BON09    
1       20 HE0018-1349   2MASS J00205238-1332296 -2.44 +0.37     *     *     * +0.48 -0.78     * +0.40 +0.29 +0.41     * +0.09 -0.10 +0.42 +0.19     *     *     * +0.19     *     *     *     *     *     *     *     * +0.65     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       21 CS30339-041   2MASS J00231293-3701267 -2.38 -0.41     *     *     * +0.47 -0.89     * +0.50 +0.40 +0.50     * -0.17 -0.37 +0.24 +0.13     *     *     * +0.39 +0.03     *     *     *     *     *     *     * +0.29     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       22 HE0023-4825   2MASS J00255030-4808270 -2.23 +0.31     *     *     * +0.39 -0.84     * +0.43 +0.27 +0.51     * +0.17 -0.28 +0.29 +0.17     *     *     * +0.22 +0.12     *     *     *     *     *     *     * +0.11     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       23 HE0024-2523   2MASS J00272766-2506281 -2.89 +2.73 +2.14 +0.47 -0.00 +0.90 -0.18 +0.51 +0.83 +0.61 +0.35     * -0.24 -0.09     *     *     *     *     * +0.58 +1.08 +1.39     *     *     *     *     *     * +1.63 +1.92     *     *     *     * +1.27     *     *     *     *     *     *     *     *     *     *     *     *     * +3.47     *     * LUC03    
1       26 CS29497-004   2MASS J00280692-2603042 -2.98 +0.22     *     *     * +0.48 -0.87     * +0.45 +0.29 +0.41     * -0.18 -0.23 +0.41 +0.21     *     *     * +0.81 +0.82 +1.11     *     *     *     *     *     * +1.38 +1.33     *     * +1.46     * +1.79     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       27 CS30339-069   2MASS J00301595-3556512 -3.25 +0.69     *     *     * +0.35     * +0.05 +0.60 +0.41 +0.58     * -0.07 -0.54 +0.50 +3.80 +3.81     *     * +0.14     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BON09    
1       28 CS31062-050   2MASS J00303106-1205108 -2.58     *     *     *     * +1.01     *     * +0.65     * +0.45 +0.02 +0.27 -0.12 +0.26 +0.01 +0.30     *     *     * +0.64 +1.03     *     *     *     * +1.16     * +2.80 +2.31 +2.27 +2.00 +2.15 +2.11 +2.08 +1.97  1.69 +1.87 +1.68 +2.43  2.16 +2.00  2.36  2.37  1.88  1.58     *     * +3.08     *     * JOH04    
1       31 HE0028-2152   2MASS J00310766-2136072 -2.94     *     *     *     * +0.78 +0.04 +0.28 +0.59 +0.36 +0.57 +1.24 +0.01 -0.42 +0.61 +0.21 +0.81     *     * -0.23 +0.56     *     *     *     *     *     *     * -0.37     *     *     *     *     * +1.58     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * COH04    
1       32 HE0029-1839   2MASS J00320775-1822368 -2.67 +0.32     *     *     * +0.17 -0.83     * +0.28 -0.15 +0.07     * +0.04 -0.70 +0.14 -0.30     *     *     * +0.27 -0.21 +0.30     *     *     *     *     *     * -1.13     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       33 CS31062-041   2MASS J00350301-1554292 -2.85 +0.49     *     *     * +0.50 -0.68     * +0.41 +0.41 +0.34     * -0.40 -0.46 +0.17 +0.09     *     *     * -0.15 -0.34     *     *     *     *     *     *     * -0.22     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       35 HE0037-2657   2MASS J00395177-2641320 -3.39 +0.31     *     *     * +0.44 -0.67     * +0.49 +0.37 +0.42     * -0.22 -0.52 +0.41 +0.14     *     *     * -0.40 -0.35     *     *     *     *     *     *     * -0.92     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       36 HE0039-4154   2MASS J00414341-4137573 -3.53 -0.14     *     *     * +0.72 -0.27     * +0.40 +0.47 +0.33     * -0.44 -0.75 +0.48 +0.12     *     *     * +0.00 -0.20     *     *     *     *     *     *     * +0.22     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       37 HE0043-2845   2MASS J00455594-2829172 -3.08 +0.20     *     *     * +0.47 -0.66     * +0.37 +0.31 +0.45     * +0.07 -0.52 +0.53 +0.18     *     *     * -0.53     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       38 HE0044-4023   2MASS J00462937-4007226 -2.73 +0.40     *     *     * +0.41 -0.88     * +0.39 +0.07 +0.37     * -0.06 -0.49 +0.31 +0.02     *     *     * +0.17     *     *     *     *     *     *     *     * -0.18     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       39 HE0044-2459   2MASS J00463587-2443022 -3.45 +0.45     *     *     * +0.52 -0.72     * +0.44 +0.46 +0.53     * -0.31 -0.82 +0.48 +0.13     *     *     * -1.41     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       40 HE0045-2430   2MASS J00474055-2414019 -1.94 -0.08     *     *     * +0.13 -0.92     * +0.26 +0.14 +0.24 +0.10 +0.09 -0.08 +0.02 -0.31 +0.15     *     * -0.50 -0.43 +0.27     *     *     *     *     *     * -0.16     *     *     *     *     * +0.50     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       41 HE0049-5700   2MASS J00520684-5644374 -2.57 +0.39     *     *     * +0.54 -0.81     * +0.54 +0.36 +0.53     * -0.02 -0.48 +0.24 -0.06     *     *     * +0.33     *     *     *     *     *     *     *     * -0.25     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
