# z	t0	dz-	dz+	dt0-	dt0+
2.197	20.681	-0.200	0.202	-8.028	6.764
2.596	15.481	-0.194	0.206	-5.998	5.969
3.002	19.519	-0.202	0.200	-4.433	6.890
3.405	25.979	-0.203	0.200	-5.678	4.048
4.203	19.481	-0.203	0.202	-10.059	9.600
