3.940	0.317
3.613	0.362
3.368	0.400
3.123	0.427
2.919	0.488
2.593	0.521
2.430	0.596
2.062	0.704
1.777	0.861
1.491	1.019
1.328	1.207
0.961	1.475
0.798	1.688
0.512	1.930
