1.900	0.392
1.948	0.370
2.464	0.398
2.286	0.280
2.432	0.297
3.705	0.249
3.770	0.231
2.431	0.203
2.608	0.165
1.850	0.175
2.076	0.168
0.689	0.104
0.657	0.137
0.851	0.163
1.012	0.186
1.221	0.105
1.349	0.062
1.656	0.092
1.882	0.135
2.060	0.135
1.963	0.111
2.140	0.102
2.318	0.137
2.026	0.066
2.010	0.064
2.608	0.111
2.575	0.111
2.817	0.118
3.204	0.101
3.253	0.116
3.430	0.089
3.843	0.002
3.666	0.003
2.973	0.004
2.393	0.005
2.071	0.005
0.670	0.016
1.396	0.019
3.328	0.004
3.216	0.005
3.764	0.005
3.732	0.005
2.458	0.008
2.443	0.010
2.266	0.012
2.363	0.016
2.524	0.018
3.119	0.006
2.926	0.007
2.765	0.009
2.588	0.011
2.766	0.014
2.782	0.016
2.782	0.016
2.782	0.018
3.700	0.007
3.829	0.007
4.056	0.014
3.685	0.013
3.378	0.013
3.201	0.013
3.217	0.011
3.411	0.015
3.588	0.016
3.685	0.016
3.911	0.017
3.669	0.019
3.427	0.021
3.218	0.021
3.008	0.021
3.105	0.025
2.283	0.035
1.993	0.033
1.767	0.036
1.929	0.044
2.138	0.027
2.138	0.033
2.591	0.082
2.462	0.072
2.316	0.061
2.381	0.054
2.429	0.052
4.009	0.036
3.880	0.032
3.686	0.032
3.525	0.031
3.396	0.031
3.396	0.038
3.074	0.040
2.767	0.039
2.687	0.037
2.799	0.035
2.847	0.030
3.863	0.025
3.766	0.029
3.476	0.027
3.299	0.023
2.541	0.023
2.444	0.026
2.476	0.025
3.284	0.058
3.332	0.055
3.284	0.074
3.042	0.072
2.897	0.066
2.994	0.069
3.733	0.010
3.894	0.010
3.781	0.009
