# SFR bouwens etl al, 2012 arxiv 1211.2230 
   3.8    1.      -1.21    0.05
   5.0    1.      -1.54    0.06 
   5.9    1.      -1.72    0.08  
   6.8    1.      -1.90    0.10
   8.0    1.      -2.20    0.11
   9.2    1.      -2.98    0.40
  10.0	  1.	  -3.80	   0.60
